Time,trustor,trustee,pkts_f,pkts_d,pdr,frds,coi,D_ID,D_Type,D_Brand,D_Model,D_Relationship_Type,D_Relationship_Factor
1,6,1,5,2,0.714285714,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
2,6,14,6,1,0.857142857,0,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
3,13,4,4,6,0.4,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
3,4,6,2,3,0.4,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
4,4,14,5,0,1,1,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
4,9,11,1,1,0.5,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
5,14,7,6,4,0.6,0,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
6,13,2,9,1,0.9,1,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
6,9,11,4,2,0.666666667,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
6,5,9,5,1,0.833333333,1,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
7,9,2,3,3,0.5,0,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
8,11,3,1,4,0.2,1,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
8,2,8,6,0,1,1,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
9,10,14,4,1,0.8,1,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
10,10,4,2,3,0.4,1,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
10,3,13,1,0,1,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
10,15,10,3,0,1,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
11,13,4,3,0,1,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
11,3,6,1,0,1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
12,9,4,4,4,0.5,0,1,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
13,9,14,7,1,0.875,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
13,13,9,7,1,0.875,0,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
13,2,9,1,6,0.142857143,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
14,11,5,5,3,0.625,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
15,8,14,1,0,1,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
15,1,7,4,0,1,1,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
16,15,4,10,0,1,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
16,8,3,1,0,1,1,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
16,1,13,3,1,0.75,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
18,13,3,3,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
18,10,2,2,7,0.222222222,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
18,4,13,1,9,0.1,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
19,10,14,4,5,0.444444444,1,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
19,4,6,8,2,0.8,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
20,14,9,9,0,1,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
21,14,5,7,2,0.777777778,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
21,10,2,2,4,0.333333333,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
21,2,13,2,3,0.4,1,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
22,10,11,5,1,0.833333333,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
22,2,7,3,2,0.6,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
23,15,4,5,2,0.714285714,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
